Closing the Achievement Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBN,School Name,"Metric City Rating - Weighted Diploma Rate, 4 Year - ELL","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - ELL","Population Percentage of Range - Weighted Diploma Rate, 4 Year - ELL","Metric Value - Weighted Diploma Rate, 4 Year - ELL","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - ELL","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - ELL","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - ELL","Metric Score - Weighted Diploma Rate, 4 Year - ELL","Metric City Rating - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Population Percentage of Range - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Metric Value - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Metric Score - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Metric City Rating - Weighted Diploma Rate, 4 Year - Lowest Third City","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - Lowest Third City","Population Percentage of Range - Weighted Diploma Rate, 4 Year - Lowest Third City","Metric Value - Weighted Diploma Rate, 4 Year - Lowest Third City","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City","Metric Score - Weighted Diploma Rate, 4 Year - Lowest Third City","Metric City Rating - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Population Percentage of Range - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Metric Value - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Metric Score - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Metric City Rating - Percentage in Lowest Third City, College and Career Prep Course Index","Percentage of Enrollment - Percentage in Lowest Third City, College and Career Prep Course Index","Population Percentage of Range - Percentage in Lowest Third City, College and Career Prep Course Index","Metric Value - Percentage in Lowest Third City, College and Career Prep Course Index","Approaching Target For 2015 - Percentage in Lowest Third City, College and Career Prep Course Index","Meeting Target For 2015 - Percentage in Lowest Third City, College and Career Prep Course Index","Exceeding Target For 2015 - Percentage in Lowest Third City, College and Career Prep Course Index","Metric Score - Percentage in Lowest Third City, College and Career Prep Course Index","Metric City Rating - Percentage in Lowest Third City, 4-year Non-Remediation Index","Percentage of Enrollment - Percentage in Lowest Third City, 4-year Non-Remediation Index","Population Percentage of Range - Percentage in Lowest Third City, 4-year Non-Remediation Index","Metric Value - Percentage in Lowest Third City, 4-year Non-Remediation Index","Approaching Target For 2015 - Percentage in Lowest Third City, 4-year Non-Remediation Index","Meeting Target For 2015 - Percentage in Lowest Third City, 4-year Non-Remediation Index","Exceeding Target For 2015 - Percentage in Lowest Third City, 4-year Non-Remediation Index","Metric Score - Percentage in Lowest Third City, 4-year Non-Remediation Index","Metric City Rating - Percentage in Lowest Third City, PER, 6 Months After High School","Percentage of Enrollment - Percentage in Lowest Third City, PER, 6 Months After High School","Population Percentage of Range - Percentage in Lowest Third City, PER, 6 Months After High School","Metric Value - Percentage in Lowest Third City, PER, 6 Months After High School","Approaching Target For 2015 - Percentage in Lowest Third City, PER, 6 Months After High School","Meeting Target For 2015 - Percentage in Lowest Third City, PER, 6 Months After High School","Exceeding Target For 2015 - Percentage in Lowest Third City, PER, 6 Months After High School","Metric Score - Percentage in Lowest Third City, PER, 6 Months After High School",,,,,,,
08X559,School for Tourism and Hospitality,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,50.0%,100.0%,,110.0%,197.0%,285.2%,,N/A,50.0%,75.1%,,71.2%,127.5%,184.6%,,N/A,50.0%,100.0%,,65.3%,116.9%,169.2%,,N/A,50.0%,75.1%,,7.3%,13.0%,18.9%,,N/A,50.0%,75.1%,,1.4%,2.5%,3.7%,,N/A,100.0%,100.0%,,11.4%,20.4%,29.5%,,,,,,,,
08X561,Bronx Compass High School,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,50.0%,100.0%,,110.0%,197.0%,285.2%,,N/A,75.0%,100.0%,,71.2%,127.5%,184.6%,,N/A,50.0%,100.0%,,65.3%,116.9%,169.2%,,N/A,75.0%,100.0%,,7.3%,13.0%,18.9%,,N/A,75.0%,100.0%,,1.4%,2.5%,3.7%,,N/A,100.0%,100.0%,,11.4%,20.4%,29.5%,,,,,,,,
08X650,Jane Addams High School for Academic Careers,Approaching Target,25.0%,44.9%,136.4%,103.0%,163.9%,225.7%,2.55,Not Meeting Target,27.3%,69.3%,104.2%,110.0%,197.0%,285.2%,1.95,Approaching Target,55.7%,83.6%,104.1%,71.2%,127.5%,184.6%,2.58,Approaching Target,17.0%,43.6%,73.3%,65.3%,116.9%,169.2%,2.16,Not Meeting Target,55.7%,83.6%,0.0%,7.3%,13.0%,18.9%,1.00,Approaching Target,55.7%,83.6%,2.0%,1.4%,2.5%,3.7%,2.55,Not Meeting Target,56.8%,93.4%,8.0%,11.4%,20.4%,29.5%,1.70,,,,,,,
09X227,Bronx Collegiate Academy,Approaching Target,35.6%,63.9%,151.4%,103.0%,163.9%,225.7%,2.79,Approaching Target,23.8%,60.4%,187.5%,110.0%,197.0%,285.2%,2.89,Meeting Target,51.5%,77.3%,127.9%,71.2%,127.5%,184.6%,3.01,Meeting Target,28.7%,73.6%,131.0%,65.3%,116.9%,169.2%,3.27,Meeting Target,51.5%,77.3%,13.5%,7.3%,13.0%,18.9%,3.08,Exceeding Target,51.5%,77.3%,3.8%,1.4%,2.5%,3.7%,4.06,Meeting Target,62.4%,100.0%,23.8%,11.4%,20.4%,29.5%,3.37,,,,,,,
09X231,Eagle Academy for Young Men,N/A,2.9%,5.2%,,103.0%,163.9%,225.7%,,Approaching Target,29.5%,74.9%,177.4%,110.0%,197.0%,285.2%,2.77,Approaching Target,38.1%,57.2%,120.0%,71.2%,127.5%,184.6%,2.87,Meeting Target,37.1%,95.1%,123.1%,65.3%,116.9%,169.2%,3.12,Approaching Target,38.1%,57.2%,7.5%,7.3%,13.0%,18.9%,2.04,Exceeding Target,38.1%,57.2%,5.0%,1.4%,2.5%,3.7%,4.76,Exceeding Target,41.0%,67.4%,48.8%,11.4%,20.4%,29.5%,4.99,,,,,,,
09X241,Urban Assembly School for Applied Math and Science,N/A,13.4%,24.1%,250.0%,103.0%,163.9%,225.7%,,Meeting Target,18.3%,46.4%,266.7%,110.0%,197.0%,285.2%,3.79,Exceeding Target,19.5%,29.3%,237.5%,71.2%,127.5%,184.6%,4.61,N/A,7.3%,18.7%,266.7%,65.3%,116.9%,169.2%,,Exceeding Target,19.5%,29.3%,56.3%,7.3%,13.0%,18.9%,4.99,Not Meeting Target,19.5%,29.3%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,40.7%,66.9%,37.1%,11.4%,20.4%,29.5%,4.55,,,,,,,
09X250,Eximius College Preparatory Academy: A College Boa,Exceeding Target,15.8%,28.4%,245.2%,103.0%,163.9%,225.7%,4.21,Exceeding Target,19.5%,49.5%,365.4%,110.0%,197.0%,285.2%,4.59,Exceeding Target,36.8%,55.3%,252.0%,71.2%,127.5%,184.6%,4.77,Exceeding Target,23.3%,59.7%,238.7%,65.3%,116.9%,169.2%,4.87,Approaching Target,36.8%,55.3%,10.2%,7.3%,13.0%,18.9%,2.51,Exceeding Target,36.8%,55.3%,10.2%,1.4%,2.5%,3.7%,4.99,Exceeding Target,45.2%,74.3%,60.6%,11.4%,20.4%,29.5%,4.99,,,,,,,
09X252,Mott Hall Bronx High School,N/A,12.1%,21.7%,336.4%,103.0%,163.9%,225.7%,,Meeting Target,18.7%,47.5%,258.8%,110.0%,197.0%,285.2%,3.70,Exceeding Target,27.5%,41.3%,208.0%,71.2%,127.5%,184.6%,4.27,Exceeding Target,11.0%,28.2%,280.0%,65.3%,116.9%,169.2%,4.99,Approaching Target,27.5%,41.3%,8.0%,7.3%,13.0%,18.9%,2.12,Not Meeting Target,27.5%,41.3%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,45.2%,74.3%,36.8%,11.4%,20.4%,29.5%,4.53,,,,,,,
09X260,Bronx Center for Science and Mathematics,N/A,2.7%,4.8%,,103.0%,163.9%,225.7%,,Exceeding Target,18.9%,48.0%,323.8%,110.0%,197.0%,285.2%,4.29,N/A,16.2%,24.3%,233.3%,71.2%,127.5%,184.6%,,N/A,9.0%,23.1%,330.0%,65.3%,116.9%,169.2%,,N/A,16.2%,24.3%,5.6%,7.3%,13.0%,18.9%,,N/A,16.2%,24.3%,5.6%,1.4%,2.5%,3.7%,,N/A,14.7%,24.2%,31.3%,11.4%,20.4%,29.5%,,,,,,,,
09X263,Validus Preparatory Academy: An Expeditionary Lear,Approaching Target,17.3%,31.1%,117.6%,103.0%,163.9%,225.7%,2.24,Not Meeting Target,17.3%,43.9%,58.8%,110.0%,197.0%,285.2%,1.53,Approaching Target,34.7%,52.1%,85.3%,71.2%,127.5%,184.6%,2.25,Approaching Target,24.5%,62.8%,79.2%,65.3%,116.9%,169.2%,2.27,Approaching Target,34.7%,52.1%,11.8%,7.3%,13.0%,18.9%,2.79,Meeting Target,34.7%,52.1%,2.9%,1.4%,2.5%,3.7%,3.33,Meeting Target,47.2%,77.6%,23.8%,11.4%,20.4%,29.5%,3.37,,,,,,,
09X276,Leadership Institute,Not Meeting Target,27.5%,49.4%,42.9%,103.0%,163.9%,225.7%,1.22,Not Meeting Target,19.6%,49.7%,40.0%,110.0%,197.0%,285.2%,1.36,Not Meeting Target,58.8%,88.3%,26.7%,71.2%,127.5%,184.6%,1.38,Not Meeting Target,35.3%,90.5%,0.0%,65.3%,116.9%,169.2%,1.00,Not Meeting Target,58.8%,88.3%,3.3%,7.3%,13.0%,18.9%,1.45,Not Meeting Target,58.8%,88.3%,0.0%,1.4%,2.5%,3.7%,1.00,Meeting Target,60.0%,98.7%,21.4%,11.4%,20.4%,29.5%,3.11,,,,,,,
09X297,Morris Academy for Collaborative Studies,Meeting Target,15.4%,27.6%,170.5%,103.0%,163.9%,225.7%,3.11,Approaching Target,25.2%,64.0%,168.1%,110.0%,197.0%,285.2%,2.67,Meeting Target,51.7%,77.6%,133.8%,71.2%,127.5%,184.6%,3.11,Meeting Target,30.8%,79.0%,131.8%,65.3%,116.9%,169.2%,3.28,Not Meeting Target,51.7%,77.6%,2.7%,7.3%,13.0%,18.9%,1.37,Exceeding Target,51.7%,77.6%,4.1%,1.4%,2.5%,3.7%,4.24,Meeting Target,51.1%,84.0%,20.8%,11.4%,20.4%,29.5%,3.04,,,,,,,
09X324,Bronx Early College Academy for Teaching & Learnin,Exceeding Target,18.3%,32.9%,245.5%,103.0%,163.9%,225.7%,4.21,Exceeding Target,15.0%,38.1%,288.9%,110.0%,197.0%,285.2%,4.03,Exceeding Target,35.0%,52.6%,238.1%,71.2%,127.5%,184.6%,4.61,Exceeding Target,18.3%,46.9%,236.4%,65.3%,116.9%,169.2%,4.84,Exceeding Target,35.0%,52.6%,28.6%,7.3%,13.0%,18.9%,4.99,Exceeding Target,35.0%,52.6%,4.8%,1.4%,2.5%,3.7%,4.65,Exceeding Target,40.7%,66.9%,54.2%,11.4%,20.4%,29.5%,4.99,,,,,,,
09X327,Comprehensive Model School Project M.S. 327,N/A,66.7%,100.0%,,103.0%,163.9%,225.7%,,N/A,66.7%,100.0%,,110.0%,197.0%,285.2%,,N/A,100.0%,100.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,100.0%,100.0%,,7.3%,13.0%,18.9%,,N/A,100.0%,100.0%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
09X329,DreamYard Preparatory School,Meeting Target,28.4%,51.0%,192.0%,103.0%,163.9%,225.7%,3.45,Approaching Target,25.0%,63.5%,159.1%,110.0%,197.0%,285.2%,2.56,Meeting Target,50.0%,75.1%,131.8%,71.2%,127.5%,184.6%,3.08,Meeting Target,22.7%,58.2%,117.5%,65.3%,116.9%,169.2%,3.01,Not Meeting Target,50.0%,75.1%,6.8%,7.3%,13.0%,18.9%,1.93,Not Meeting Target,50.0%,75.1%,0.0%,1.4%,2.5%,3.7%,1.00,Meeting Target,57.6%,94.7%,20.8%,11.4%,20.4%,29.5%,3.04,,,,,,,
09X365,Academy for Language and Technology,Exceeding Target,94.4%,100.0%,320.1%,103.0%,163.9%,225.7%,4.99,N/A,7.0%,17.8%,300.0%,110.0%,197.0%,285.2%,,Exceeding Target,52.1%,78.2%,294.6%,71.2%,127.5%,184.6%,4.99,Exceeding Target,28.2%,72.3%,267.5%,65.3%,116.9%,169.2%,4.99,Exceeding Target,52.1%,78.2%,75.7%,7.3%,13.0%,18.9%,4.99,Exceeding Target,52.1%,78.2%,5.4%,1.4%,2.5%,3.7%,4.99,Exceeding Target,33.8%,55.6%,46.2%,11.4%,20.4%,29.5%,4.99,,,,,,,
09X403,Bronx International High School,Meeting Target,98.3%,100.0%,216.4%,103.0%,163.9%,225.7%,3.85,N/A,4.3%,10.9%,320.0%,110.0%,197.0%,285.2%,,Exceeding Target,33.9%,50.9%,192.3%,71.2%,127.5%,184.6%,4.09,Meeting Target,13.0%,33.3%,133.3%,65.3%,116.9%,169.2%,3.31,Approaching Target,33.9%,50.9%,7.7%,7.3%,13.0%,18.9%,2.07,Exceeding Target,33.9%,50.9%,5.1%,1.4%,2.5%,3.7%,4.82,Exceeding Target,54.2%,89.1%,34.5%,11.4%,20.4%,29.5%,4.36,,,,,,,
09X404,School for Excellence,Meeting Target,34.3%,61.6%,205.9%,103.0%,163.9%,225.7%,3.68,Exceeding Target,29.3%,74.4%,286.2%,110.0%,197.0%,285.2%,4.01,Exceeding Target,49.5%,74.3%,193.9%,71.2%,127.5%,184.6%,4.11,Meeting Target,28.3%,72.6%,142.9%,65.3%,116.9%,169.2%,3.50,Not Meeting Target,49.5%,74.3%,0.0%,7.3%,13.0%,18.9%,1.00,Not Meeting Target,49.5%,74.3%,0.0%,1.4%,2.5%,3.7%,1.00,Approaching Target,58.8%,96.7%,16.7%,11.4%,20.4%,29.5%,2.59,,,,,,,
09X412,Bronx High School of Business,Approaching Target,31.2%,56.0%,110.3%,103.0%,163.9%,225.7%,2.12,Approaching Target,28.0%,71.1%,151.9%,110.0%,197.0%,285.2%,2.48,Meeting Target,58.1%,87.2%,135.2%,71.2%,127.5%,184.6%,3.13,Meeting Target,30.1%,77.2%,125.0%,65.3%,116.9%,169.2%,3.15,Approaching Target,58.1%,87.2%,11.1%,7.3%,13.0%,18.9%,2.67,Exceeding Target,58.1%,87.2%,11.1%,1.4%,2.5%,3.7%,4.99,Meeting Target,59.8%,98.4%,25.0%,11.4%,20.4%,29.5%,3.51,,,,,,,
09X413,Bronx High School for Medical Science,N/A,4.6%,8.3%,,103.0%,163.9%,225.7%,,N/A,6.9%,17.5%,100.0%,110.0%,197.0%,285.2%,,Meeting Target,31.0%,46.5%,155.6%,71.2%,127.5%,184.6%,3.49,Approaching Target,12.6%,32.3%,90.9%,65.3%,116.9%,169.2%,2.50,Exceeding Target,31.0%,46.5%,22.2%,7.3%,13.0%,18.9%,4.37,Exceeding Target,31.0%,46.5%,7.4%,1.4%,2.5%,3.7%,4.99,Exceeding Target,15.4%,25.3%,30.0%,11.4%,20.4%,29.5%,4.04,,,,,,,
09X414,Jonathan Levin High School for Media and Communica,Approaching Target,46.5%,83.5%,117.5%,103.0%,163.9%,225.7%,2.24,Not Meeting Target,32.6%,82.7%,85.7%,110.0%,197.0%,285.2%,1.78,Approaching Target,58.1%,87.2%,100.0%,71.2%,127.5%,184.6%,2.51,Approaching Target,37.2%,95.4%,98.4%,65.3%,116.9%,169.2%,2.64,Not Meeting Target,58.1%,87.2%,0.0%,7.3%,13.0%,18.9%,1.00,Not Meeting Target,58.1%,87.2%,0.0%,1.4%,2.5%,3.7%,1.00,Not Meeting Target,49.0%,80.6%,6.1%,11.4%,20.4%,29.5%,1.54,,,,,,,
09X505,"Bronx School for Law, Government and Justice",N/A,10.2%,18.3%,253.8%,103.0%,163.9%,225.7%,,Meeting Target,21.3%,54.1%,225.9%,110.0%,197.0%,285.2%,3.33,Meeting Target,25.2%,37.8%,134.4%,71.2%,127.5%,184.6%,3.12,Approaching Target,13.4%,34.4%,100.0%,65.3%,116.9%,169.2%,2.67,Not Meeting Target,25.2%,37.8%,3.1%,7.3%,13.0%,18.9%,1.42,Meeting Target,25.2%,37.8%,3.1%,1.4%,2.5%,3.7%,3.50,Exceeding Target,33.1%,54.4%,38.6%,11.4%,20.4%,29.5%,4.65,,,,,,,
09X517,Frederick Douglass Academy III Secondary School,Meeting Target,16.2%,29.1%,180.6%,103.0%,163.9%,225.7%,3.27,Exceeding Target,18.0%,45.7%,325.0%,110.0%,197.0%,285.2%,4.30,Exceeding Target,46.8%,70.3%,209.6%,71.2%,127.5%,184.6%,4.29,Exceeding Target,20.7%,53.1%,200.0%,65.3%,116.9%,169.2%,4.39,Not Meeting Target,46.8%,70.3%,3.8%,7.3%,13.0%,18.9%,1.52,Exceeding Target,46.8%,70.3%,3.8%,1.4%,2.5%,3.7%,4.06,Exceeding Target,55.8%,91.8%,37.5%,11.4%,20.4%,29.5%,4.58,,,,,,,
09X525,Bronx Leadership Academy High School,Approaching Target,22.8%,40.9%,123.1%,103.0%,163.9%,225.7%,2.33,Approaching Target,28.7%,72.8%,146.9%,110.0%,197.0%,285.2%,2.42,Approaching Target,56.1%,84.2%,118.8%,71.2%,127.5%,184.6%,2.85,Approaching Target,32.7%,83.8%,107.1%,65.3%,116.9%,169.2%,2.81,Not Meeting Target,56.1%,84.2%,0.0%,7.3%,13.0%,18.9%,1.00,Not Meeting Target,56.1%,84.2%,1.0%,1.4%,2.5%,3.7%,1.71,Meeting Target,51.4%,84.5%,28.4%,11.4%,20.4%,29.5%,3.88,,,,,,,
09X543,High School for Violin and Dance,Approaching Target,22.3%,40.0%,148.0%,103.0%,163.9%,225.7%,2.74,Approaching Target,27.7%,70.3%,190.3%,110.0%,197.0%,285.2%,2.92,Approaching Target,53.6%,80.5%,123.3%,71.2%,127.5%,184.6%,2.93,N/A,8.9%,22.8%,140.0%,65.3%,116.9%,169.2%,,Not Meeting Target,53.6%,80.5%,0.0%,7.3%,13.0%,18.9%,1.00,Not Meeting Target,53.6%,80.5%,0.0%,1.4%,2.5%,3.7%,1.00,Meeting Target,56.5%,92.9%,20.5%,11.4%,20.4%,29.5%,3.01,,,,,,,
09X564,Claremont International HS,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,0.0%,0.0%,,110.0%,197.0%,285.2%,,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,100.0%,100.0%,,11.4%,20.4%,29.5%,,,,,,,,
10X141,Riverdale / Kingsbridge Academy (Middle School / H,N/A,9.4%,16.9%,100.0%,103.0%,163.9%,225.7%,,Approaching Target,16.9%,42.9%,155.6%,110.0%,197.0%,285.2%,2.52,Approaching Target,23.8%,35.7%,121.1%,71.2%,127.5%,184.6%,2.89,Approaching Target,15.0%,38.5%,108.3%,65.3%,116.9%,169.2%,2.83,Meeting Target,23.8%,35.7%,13.2%,7.3%,13.0%,18.9%,3.03,Exceeding Target,23.8%,35.7%,5.3%,1.4%,2.5%,3.7%,4.94,Exceeding Target,34.9%,57.4%,51.9%,11.4%,20.4%,29.5%,4.99,,,,,,,
10X213,Bronx Engineering and Technology Academy,N/A,4.3%,7.7%,,103.0%,163.9%,225.7%,,Meeting Target,27.7%,70.3%,236.5%,110.0%,197.0%,285.2%,3.45,Exceeding Target,44.7%,67.1%,204.8%,71.2%,127.5%,184.6%,4.23,Exceeding Target,37.2%,95.4%,195.7%,65.3%,116.9%,169.2%,4.33,Approaching Target,44.7%,67.1%,11.9%,7.3%,13.0%,18.9%,2.81,Approaching Target,44.7%,67.1%,2.4%,1.4%,2.5%,3.7%,2.91,Meeting Target,54.0%,88.8%,22.2%,11.4%,20.4%,29.5%,3.20,,,,,,,
10X225,Theatre Arts Production Company School,N/A,4.3%,7.7%,,103.0%,163.9%,225.7%,,Meeting Target,21.3%,54.1%,207.5%,110.0%,197.0%,285.2%,3.12,Meeting Target,29.8%,44.7%,133.9%,71.2%,127.5%,184.6%,3.11,Meeting Target,14.9%,38.2%,160.7%,65.3%,116.9%,169.2%,3.84,Not Meeting Target,29.8%,44.7%,3.6%,7.3%,13.0%,18.9%,1.49,Exceeding Target,29.8%,44.7%,7.1%,1.4%,2.5%,3.7%,4.99,Exceeding Target,36.4%,59.9%,45.8%,11.4%,20.4%,29.5%,4.99,,,,,,,
10X237,"The Marie Curie School for Medicine, Nursing, and",N/A,9.3%,16.7%,100.0%,103.0%,163.9%,225.7%,,Not Meeting Target,19.3%,49.0%,88.9%,110.0%,197.0%,285.2%,1.81,Approaching Target,29.3%,44.0%,75.6%,71.2%,127.5%,184.6%,2.08,N/A,5.0%,12.8%,85.7%,65.3%,116.9%,169.2%,,Not Meeting Target,29.3%,44.0%,4.9%,7.3%,13.0%,18.9%,1.67,Approaching Target,29.3%,44.0%,2.4%,1.4%,2.5%,3.7%,2.91,Exceeding Target,32.8%,53.9%,42.5%,11.4%,20.4%,29.5%,4.94,,,,,,,
10X243,West Bronx Academy for the Future,Exceeding Target,23.2%,41.7%,250.0%,103.0%,163.9%,225.7%,4.26,Exceeding Target,19.5%,49.5%,359.4%,110.0%,197.0%,285.2%,4.55,Meeting Target,42.7%,64.1%,182.9%,71.2%,127.5%,184.6%,3.97,Exceeding Target,28.0%,71.8%,191.3%,65.3%,116.9%,169.2%,4.28,Not Meeting Target,42.7%,64.1%,0.0%,7.3%,13.0%,18.9%,1.00,Exceeding Target,42.7%,64.1%,5.7%,1.4%,2.5%,3.7%,4.99,Exceeding Target,46.5%,76.5%,30.3%,11.4%,20.4%,29.5%,4.06,,,,,,,
10X264,Bronx Academy for Software Engineering (BASE),N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,0.0%,0.0%,,110.0%,197.0%,285.2%,,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
10X268,Kingsbridge International High School,Exceeding Target,100.0%,100.0%,226.0%,103.0%,163.9%,225.7%,4.00,N/A,5.5%,14.0%,,110.0%,197.0%,285.2%,,Meeting Target,46.6%,70.0%,157.4%,71.2%,127.5%,184.6%,3.52,Approaching Target,31.5%,80.8%,97.8%,65.3%,116.9%,169.2%,2.63,Exceeding Target,46.6%,70.0%,29.4%,7.3%,13.0%,18.9%,4.99,Not Meeting Target,46.6%,70.0%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,45.2%,74.3%,50.0%,11.4%,20.4%,29.5%,4.99,,,,,,,
10X284,Bronx School of Law and Finance,N/A,13.6%,24.4%,200.0%,103.0%,163.9%,225.7%,,Meeting Target,28.0%,71.1%,283.3%,110.0%,197.0%,285.2%,3.98,Meeting Target,43.2%,64.9%,169.6%,71.2%,127.5%,184.6%,3.74,Meeting Target,28.0%,71.8%,166.7%,65.3%,116.9%,169.2%,3.95,Approaching Target,43.2%,64.9%,11.8%,7.3%,13.0%,18.9%,2.79,Not Meeting Target,43.2%,64.9%,0.0%,1.4%,2.5%,3.7%,1.00,Approaching Target,50.5%,83.1%,18.9%,11.4%,20.4%,29.5%,2.83,,,,,,,
10X342,International School for Liberal Arts,Meeting Target,96.2%,100.0%,199.5%,103.0%,163.9%,225.7%,3.58,N/A,2.9%,7.4%,,110.0%,197.0%,285.2%,,Meeting Target,51.0%,76.6%,164.2%,71.2%,127.5%,184.6%,3.64,Meeting Target,28.8%,73.8%,153.3%,65.3%,116.9%,169.2%,3.70,Exceeding Target,51.0%,76.6%,41.5%,7.3%,13.0%,18.9%,4.99,Approaching Target,51.0%,76.6%,1.9%,1.4%,2.5%,3.7%,2.45,Exceeding Target,54.4%,89.5%,36.7%,11.4%,20.4%,29.5%,4.52,,,,,,,
10X351,Bronx Collaborative High School,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,0.0%,0.0%,,110.0%,197.0%,285.2%,,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
10X353,World View High School,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,0.0%,0.0%,,110.0%,197.0%,285.2%,,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
10X368,In-Tech Academy (M.S. / High School 368),N/A,12.6%,22.6%,185.3%,103.0%,163.9%,225.7%,,Approaching Target,14.8%,37.6%,185.0%,110.0%,197.0%,285.2%,2.86,Meeting Target,26.7%,40.1%,155.6%,71.2%,127.5%,184.6%,3.49,Exceeding Target,11.1%,28.5%,176.7%,65.3%,116.9%,169.2%,4.09,Approaching Target,26.7%,40.1%,8.3%,7.3%,13.0%,18.9%,2.18,Exceeding Target,26.7%,40.1%,5.6%,1.4%,2.5%,3.7%,4.99,Exceeding Target,19.8%,32.6%,56.5%,11.4%,20.4%,29.5%,4.99,,,,,,,
10X374,Knowledge and Power Preparatory Academy Internatio,Approaching Target,17.2%,30.9%,143.8%,103.0%,163.9%,225.7%,2.67,Approaching Target,12.9%,32.7%,166.7%,110.0%,197.0%,285.2%,2.65,Meeting Target,36.6%,55.0%,164.7%,71.2%,127.5%,184.6%,3.65,N/A,9.7%,24.9%,155.6%,65.3%,116.9%,169.2%,,Exceeding Target,36.6%,55.0%,29.4%,7.3%,13.0%,18.9%,4.99,Meeting Target,36.6%,55.0%,2.9%,1.4%,2.5%,3.7%,3.33,Meeting Target,32.6%,53.6%,24.1%,11.4%,20.4%,29.5%,3.41,,,,,,,
